reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,label,content_lower_case,content_clean,content_normalisasi
5adef64a-687b-44cb-ae83-fccac29af5f8,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"saya sudah memakai aplikasi gojek 4 tahun,alhamdulillah layanan the best",5,0,5.47.1,2026-02-03 00:57:36,,,5.47.1,2,"saya sudah memakai aplikasi gojek 4 tahun,alhamdulillah layanan the best",saya sudah memakai aplikasi gojek 4 tahun alhamdulillah layanan the best,saya sudah memakai aplikasi gojek 4 tahun alhamdulillah layanan the best
ee4c68a5-56ba-4460-a302-8f6c1fe3b919,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,jarang ada diskon,5,0,5.48.2,2026-02-03 00:51:32,,,5.48.2,2,jarang ada diskon,jarang ada diskon,jarang ada diskon
a1487729-8a06-4fb9-a99e-762150ba7438,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"makin berat aja apk, muter mulu mau beli tiket krl",1,0,5.39.1,2026-02-03 00:37:37,"Hai Kak @Now You See Me Sony Handoko, mohon maaf atas ketidaknyamanannya. Laporan yang kamu sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Apabila ada pertanyaan atau keluhan terkait layanan Gojek, silakan laporkan melalui menu Bantuan di aplikasi GoPay agar tim kami bisa bantu cek ya. ^Maysa",2026-02-03 01:46:54,5.39.1,0,"makin berat aja apk, muter mulu mau beli tiket krl",makin berat aja apk muter mulu mau beli tiket krl,makin berat aja aplikasi muter terus mau beli tiket krl
37bb5ff1-22d2-49aa-afa9-4c0a88564a8e,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,aplikasi terbaik,5,0,5.47.1,2026-02-03 00:27:07,,,5.47.1,2,aplikasi terbaik,aplikasi terbaik,aplikasi terbaik
06afd47c-c6be-4839-9931-9d90b918b039,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Di kasih limit di gopay pinjam 200rb,pengajuan pertama sukses setelah lunas di ajukan LG di tolak nunggu 1 BLN,pengajuan ke 3 di tolak lg nunggu 2 BLN utk bisa mengajukan lg.terlalu rumit nih gojek kaya limit 200jt aja.padahal sy menggunakan gojek SDH dari THN 2015.Hilang resfeck deh males.",2,0,5.48.2,2026-02-03 00:24:42,"Hai Kak Wirijaf, mohon maaf atas ketidaknyamanan yang kamu alami terkait GoPay Pinjam. Agar masalahnya dapat segera kami bantu, silakan ceritakan lebih lanjut kepada kami melalui email ke support@findaya.com dan cantumkan kode psr-26-034-0142-26161 di subjek email, ya. ^Maysa",2026-02-03 01:42:50,5.48.2,0,"di kasih limit di gopay pinjam 200rb,pengajuan pertama sukses setelah lunas di ajukan lg di tolak nunggu 1 bln,pengajuan ke 3 di tolak lg nunggu 2 bln utk bisa mengajukan lg.terlalu rumit nih gojek kaya limit 200jt aja.padahal sy menggunakan gojek sdh dari thn 2015.hilang resfeck deh males.",di kasih limit di gopay pinjam 200rb pengajuan pertama sukses setelah lunas di ajukan lg di tolak nunggu 1 bln pengajuan ke 3 di tolak lg nunggu 2 bln utk bisa mengajukan lg terlalu rumit nih gojek kaya limit 200jt aja padahal sy menggunakan gojek sdh dari thn 2015 hilang resfeck deh males,di kasih limit di gopay pinjam 200 ribu pengajuan pertama sukses setelah lunas di ajukan lagi di tolak nunggu 1 bulan pengajuan ke 3 di tolak lagi nunggu 2 bulan untuk bisa mengajukan lagi terlalu rumit nih gojek kaya limit 200 juta aja padahal saya menggunakan gojek sudah dari tahun 2015 hilang respek deh males
d5d600d2-0ad5-4e4a-8f75-6004387354cf,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,sangat bagus dan berguna untuk memakai perjalanan jarak jauh 👍,5,0,5.47.1,2026-02-03 00:14:49,,,5.47.1,2,sangat bagus dan berguna untuk memakai perjalanan jarak jauh 👍,sangat bagus dan berguna untuk memakai perjalanan jarak jauh,sangat bagus dan berguna untuk memakai perjalanan jarak jauh
28a249e2-d403-496a-ab26-ce70e212ae36,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,enjoy Abang nya,5,0,5.45.1,2026-02-03 00:14:13,,,5.45.1,2,enjoy abang nya,enjoy abang nya,enjoy abang nya
33a55c7b-4453-41db-bbcd-75101795fbb4,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,cepat sekali,5,0,5.47.1,2026-02-03 00:11:58,,,5.47.1,2,cepat sekali,cepat sekali,cepat sekali
e9b96c75-fc2e-4bd3-b957-2a2e9a1f24a8,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,ok,5,0,5.47.1,2026-02-03 00:03:43,,,5.47.1,2,ok,ok,oke
fa8bb75c-1ef9-48ef-9d40-0cdedb1a93c6,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Susah cencel pesenan,3,0,,2026-02-02 23:50:40,"Hai Kak Ahmad, mohon maaf atas ketidaknyamanannya. Ke depannya, jika kamu mengalami hal serupa, klik 'Butuh Bantuan' pada halaman pemesanan, lalu pilih alasan pembatalan yang sesuai, ya. Pesananmu akan dicek terlebih dulu. Jika kamu memiliki pertanyaan lain, silakan kunjungi menu Bantuan pada aplikasi Gojek. ^Maysa",2026-02-03 01:38:18,,1,susah cencel pesenan,susah cencel pesenan,susah cancel pesanan
010cbd5d-3934-4502-af27-01fedd712949,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"gojek yang mendapat orderan adalah pasti gojek yang keadaanya jauh ,dan bisa bikin terlambat selain itu pas sudah ditunggu malah di cancel sama gojeknya sendiri😢",2,0,5.47.1,2026-02-02 23:50:09,"Hai Kak Daffa, mohon maaf atas kendalanya. Kesulitan mendapatkan driver bisa terjadi karena meningkatnya jumlah pesanan di jam sibuk, atau tidak ada driver di dekat titik penjemputan. Mohon menunggu beberapa saat dan coba kembali, ya. Jika ada pertanyaan lain, silakan kunjungi menu Bantuan pada aplikasi Gojek-mu, ya. ^Maysa",2026-02-03 01:35:16,5.47.1,0,"gojek yang mendapat orderan adalah pasti gojek yang keadaanya jauh ,dan bisa bikin terlambat selain itu pas sudah ditunggu malah di cancel sama gojeknya sendiri😢",gojek yang mendapat orderan adalah pasti gojek yang keadaanya jauh dan bisa bikin terlambat selain itu pas sudah ditunggu malah di cancel sama gojeknya sendiri,gojek yang mendapat orderan adalah pasti gojek yang keadaanya jauh dan bisa bikin terlambat selain itu pas sudah ditunggu malah di cancel sama gojeknya sendiri
31294ecd-301c-4d4b-b78c-4ca2f443c1bb,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,bagus sekali,5,0,5.47.1,2026-02-02 23:43:21,,,5.47.1,2,bagus sekali,bagus sekali,bagus sekali
c434e22b-c976-4980-8d34-41acb45d7a6a,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Kenapa tiap order, dapetnya driver yang jauh dari radius titik jemput terus? Gimana sih ini sistemnya, agak lain.",3,0,5.48.2,2026-02-02 23:42:49,"Hai Kak Agus, mohon maaf atas kendalanya. Kesulitan mendapatkan driver bisa terjadi karena meningkatnya jumlah pesanan di jam sibuk, atau tidak ada driver di dekat titik penjemputan. Mohon menunggu beberapa saat dan coba kembali, ya. Jika ada pertanyaan lain, silakan kunjungi menu Bantuan pada aplikasi Gojek-mu, ya. ^Maysa",2026-02-03 01:33:06,5.48.2,1,"kenapa tiap order, dapetnya driver yang jauh dari radius titik jemput terus? gimana sih ini sistemnya, agak lain.",kenapa tiap order dapetnya driver yang jauh dari radius titik jemput terus gimana sih ini sistemnya agak lain,kenapa tiap order dapetnya driver yang jauh dari radius titik jemput terus gimana sih ini sistemnya agak lain
